121	118
64	59
178	21
52	45
172	169
177	176
58	67
161	162
146	150
129	134
49	46
142	138
95	94
100	103
7	4
93	87
143	169
86	89
109	110
17	106
161	142
54	51
137	142
140	143
180	40
31	29
34	33
35	34
121	122
48	44
95	94
137	142
43	89
154	143
123	117
14	2
114	115
43	33
42	40
69	65
166	165
15	20
42	41
170	171
145	143
160	163
72	73
161	162
83	72
133	135
91	88
29	28
26	19
70	106
136	139
168	171
19	21
14	17
109	30
14	13
77	84
53	57
75	77
100	99
124	121
31	30
87	79
7	9
168	165
23	24
159	158
86	93
170	174
2	1
41	182
4	5
22	39
119	105
92	100
48	51
43	181
31	33
61	59
67	93
43	179
25	45
168	165
119	106
136	131
147	164
128	120
48	51
140	139
50	59
135	137
146	138
14	2
27	28
172	169
7	8
130	129
13	184
7	5
17	12
75	67
89	88
114	115
31	33
39	33
133	134
99	106
11	5
75	70
100	102
104	107
43	33
167	146
163	173
163	159
109	110
71	75
4	5
31	32
148	151
124	153
101	91
81	80
68	98
151	153
60	49
47	53
13	184
71	72
93	94
172	169
11	12
157	151
151	152
58	57
40	39
145	155
101	91
5	6
175	176
43	42
103	101
75	84
126	127
25	27
146	144
170	171
180	182
135	137
31	29
37	14
15	6
68	98
131	130
45	24
58	56
114	109
166	171
4	2
160	162
25	27
102	103
186	118
76	84
97	94
133	134
95	90
53	51
154	141
72	73
103	91
43	32
89	90
54	13
103	64
130	129
163	155
93	88
75	66
83	82
87	79
147	145
77	79
92	84
133	134
117	106
102	103
97	96
128	120
69	106
32	39
32	33
131	129
147	146
16	18
50	45
106	105
119	141
13	15
98	67
163	165
31	109
170	172
174	175
11	5
167	158
29	28
131	129
67	70
100	99
116	115
110	115
112	111
14	17
40	22
167	164
124	151
119	128
113	110
128	129
128	121
13	1
116	183
104	96
81	70
135	131
25	24
75	67
117	115
145	144
78	75
58	57
43	180
118	158
31	41
19	18
13	20
107	110
36	38
16	12
119	121
13	12
51	46
160	154
80	81
137	138
71	67
128	127
58	57
163	177
127	183
53	52
77	67
159	158
79	82
58	56
31	32
60	49
16	18
168	172
140	143
50	52
11	8
170	171
174	177
160	155
16	18
129	158
102	104
147	146
25	27
186	185
100	101
52	45
153	127
63	62
154	143
78	80
16	18
78	75
68	70
25	45
112	113
170	172
124	153
166	165
62	59
36	183
69	105
90	88
178	22
144	162
116	185
169	171
63	64
99	106
71	75
3	11
93	85
174	177
59	51
81	70
68	62
54	51
128	149
144	141
100	103
76	84
133	135
27	28
47	48
112	113
174	177
122	153
64	62
72	73
56	49
14	12
43	41
102	96
180	182
128	118
78	79
55	52
11	12
35	34
37	36
148	127
155	150
77	74
125	152
54	38
149	150
120	185
170	171
93	85
120	118
177	176
124	152
47	46
153	152
107	108
120	118
4	2
124	121
10	3
83	123
81	70
139	142
146	150
151	123
102	99
3	20
35	34
23	22
92	89
132	133
16	11
165	164
133	134
155	150
63	105
78	74
60	27
119	116
147	150
11	5
13	1
109	110
37	8
68	61
121	122
109	108
148	151
89	88
179	181
100	102
125	164
117	114
54	51
47	48
170	171
70	106
92	101
55	57
180	41
117	115
49	46
108	115
148	153
136	142
120	185
23	3
32	150
54	36
154	169
68	70
160	162
39	45
27	28
78	84
128	129
136	138
50	27
174	176
161	145
58	56
109	111
75	67
167	172
47	48
124	152
4	15
7	9
105	183
16	12
75	106
71	65
43	33
173	171
7	37
28	30
114	109
167	163
93	84
16	18
25	24
140	138
60	59
10	3
4	22
177	176
167	164
42	39
117	114
43	33
128	118
11	8
136	132
174	155
50	51
159	121
119	105
175	171
142	138
63	62
101	91
174	177
102	103
109	30
132	130
161	141
145	142
47	50
71	66
13	1
156	140
126	183
3	5
89	85
131	129
71	72
116	117
109	111
148	127
50	52
25	24
65	106
112	113
58	57
47	52
185	105
168	164
159	153
22	39
154	145
119	77
112	113
36	21
126	183
151	153
68	61
180	70
133	135
144	138
156	149
136	139
22	20
23	24
154	143
47	56
53	48
26	21
37	88
10	12
80	72
4	8
159	153
132	136
132	142
119	106
80	82
49	45
145	144
4	11
126	127
169	171
61	62
63	62
53	52
145	144
70	106
125	122
47	46
178	36
11	8
58	57
178	22
89	95
66	125
135	137
15	20
71	98
128	151
97	96
135	137
132	133
160	159
26	19
75	69
7	37
180	179
14	12
56	57
19	36
107	106
168	164
37	8
121	118
167	172
156	149
23	178
157	151
63	64
17	15
68	61
3	8
7	37
167	146
153	127
148	118
69	64
92	101
34	29
69	84
71	75
97	96
71	68
50	49
133	134
60	59
131	153
99	65
23	24
170	171
83	82
128	118
173	175
54	96
124	155
58	67
184	20
181	33
75	77
21	44
71	75
100	98
151	84
175	176
173	171
36	39
10	11
63	62
159	162
102	98
168	164
89	90
53	56
25	24
160	167
114	110
113	110
13	184
156	157
86	93
126	104
47	51
172	169
178	21
25	27
104	183
36	21
116	97
108	106
51	52
102	103
179	42
178	21
114	110
181	182
140	138
55	56
83	72
56	57
146	155
40	39
69	67
58	67
133	136
45	24
126	104
184	15
16	48
167	177
148	151
60	53
165	164
13	15
121	122
67	70
68	62
103	98
92	91
172	169
180	182
61	62
50	60
35	40
136	130
142	138
95	97
77	84
114	110
135	131
112	110
75	77
160	154
161	142
78	82
69	72
47	46
153	152
100	102
60	50
167	169
13	2
14	11
77	79
41	30
96	52
78	87
68	65
94	96
17	184
102	101
77	67
109	115
112	113
41	30
7	20
156	149
63	69
86	103
151	123
26	45
16	18
133	132
31	32
132	134
86	88
92	91
161	143
80	82
7	9
15	12
116	185
92	90
120	185
3	6
21	18
146	158
78	79
19	17
31	30
86	79
180	42
113	110
177	175
128	149
34	181
168	169
136	137
121	122
140	143
4	2
27	28
133	134
161	162
174	177
161	142
121	122
88	90
7	36
103	98
103	101
50	49
140	139
86	89
151	152
180	41
29	30
130	131
32	38
109	108
174	177
69	64
7	8
109	30
132	131
22	20
95	94
102	96
15	20
86	88
184	1
67	131
160	162
146	144
111	30
125	151
178	36
93	94
90	91
93	87
132	133
44	18
147	161
81	80
42	40
23	22
174	176
43	52
148	151
77	87
107	183
180	42
135	131
44	18
43	41
131	164
35	33
23	21
145	141
42	39
22	39
178	40
47	52
173	159
123	118
186	118
53	52
25	27
23	22
166	57
178	39
102	99
120	118
174	175
124	77
87	84
27	28
120	116
119	108
26	24
125	122
27	28
36	21
25	19
130	129
160	162
35	34
7	8
109	110
180	179
149	129
86	88
174	154
151	157
184	73
116	107
25	24
10	12
77	79
180	182
184	12
37	8
61	59
148	127
143	138
7	8
157	151
154	141
102	103
14	1
50	45
60	59
7	38
108	110
67	70
125	153
76	57
25	45
167	159
21	44
77	84
124	151
71	70
78	74
108	105
26	44
117	114
71	99
27	28
175	176
38	33
166	174
140	138
83	72
153	127
163	158
163	165
